Index	Name	SMARTS	reason	acceptable_serine_trap	acceptable_ZBG	Level
C=O_1	acid halide	[C,S,P](=[O,S])[F,Cl,Br,I]	reagent	0	0	1
C=O_2	acid anhydride	C(=O)O[C,S](=O)	reagent	0	0	1
C=O_3	ester	[#6][O;R0][C;R0](=O)[#6;!$(C(F)(F)F)]	metabolicaly unstable	0	0	2
C=O_4	trifluoroacetate	C(F)(F)(F)C(=O)[O,S]	chemically unstable	0	0	1
C=O_5	pentafluorophenyl ester	[C;R0](=O)Oc1c(F)c(F)c(F)c(F)c1(F)	chemically unstable	0	0	1
C=O_6	paranitrophenyl ester	[C;R0](=O)Oc1ccc(N(=O)=,-[O])cc1	chemically unstable	0	0	1
C=O_7	ester of HOBt	[C;R0](=O)Onnn	chemically unstable	0	0	1
C=O_8	unstable ester	[c;r6]([$([N](=O)-,=[O]),$(C#N),$(C(F)(F)F)])[$(cC(=O)-!@O[#6]),$(a:cC(=O)-!@O[#6]),$(a:a:cC(=O)-!@O[#6])]	chemically unstable	0	0	1
C=O_9	reactive o-phenol ester	[#1,CH3]C([#1,CH3])([#1,CH3])C(=O)O[c]1:c([C,S]=O):[cH]:[cH]:[cH]:[cH]:1	serine trap (ia Aspirin)	1	0	2
C=O_10	reactive p-phenol ester	[#1,CH3]C([#1,CH3])([#1,CH3])C(=O)O[c]1:[cH]:[cH]:c([C,S]=O):[cH]:[cH]:1	serine trap (ia Sivelestat)	1	0	2
C=O_11	isocyanate	N=C=[S,O]	reagent	0	0	1
C=O_12	acyl cyanide	N#CC(=O)	reagent	0	0	1
C=O_13	aldehyde	[#6][CH](=O)	reagent, lysine trap (IGF-1R inh; dx.doi.org/10.1021/jm3003203), serine trap (wheat ser-carboxypeptidase, pdb 1BCS), metabolically unstable (substrate of aldehyde oxidase, ref 10.1021/jm100888d)	0	0	1
C=O_14	aliphatic ketone	[CX4;!$(C(F)F)][C;R0]([CX4;!$(C(F)F)])=O		0	0	2
C=O_15	aromatic ketone	[c][C;R0]([c,CX4;!$(C(F)F)])=O		0	0	2
C=O_16	ketene	[#6]=C=O	reagent	0	0	1
C=O_17	acetamide	C([#1,F])([#1,F])([#1,F])C(=O)[NR0X3]([#1,#6])[#1,#6]		0	0	2
C=O_19	phosphonic or sulfonic acid	[S,P](=O)[OH,O-]		0	1	2
C=O_20	poly acidic	[C,S,P](=O)[OH,O-].[C,S,P](=O)[OH,O-]	poor exposure, toxicophore (hepatotox by glucuronidation, ref PMID: 15582794 )	0	1	2
C=O_21	tartric acid derivative	C(=O)-!@[CH]([OH])-!@[CH]([OH])-!@C(=O)	metal chelator	0	1	2
C=O_22	beta-lactam	N1~[#6]~[#6]C1=O	serine trap (beta-lactam antibiotics)	1	0	2
C=O_23	beta-lactone	[#6,#15,#16]1(=O)-[#6]~[#6]-[#8,#16]1	serine trap (eg orlistat, not bioavailable though)	1	0	2
C=O_24	gamma-lactone	C1(=O)-[CX4]-C-[CX4]-O-1	serine trap	1	0	2
